UF,IDH_2015,TAXA DE HOMICIDIO DE NEGROS,TAXA DE HOMICIDIOS DE NÃO NEGROS,POPULAÇÃO EVANGÉLICA,POPULAÇÃO TOTAL 2010,TAXA DE HOMICIDIOS POR ARMA DE FOGO,VOTAÇÃO JAIR BOLSONARO ( PSL) PRIMEIRO TURNO,VOTAÇÃO FERNANDO HADDAD (PT) PRIMEIRO TURNO,VOTAÇÃO CIRO GOMES (PDT) PRIMEIRO TURNO,VOTAÇÃO GERALDO ALCKIMIN (PSDB) PRIMEIRO TURNO,VOTAÇÃO CABO DACIOLO (PATRIOTAS) PRIMEIRO TURNO,VOTAÇÃO JOÃO AMOEDO (NOVO) PRIMEIRO TURNO,VOTAÇÃO HENRIQUE MEIRELLES (MDB) PRIMEIRO TURNO,VOTAÇÃO MARINA SILVA (REDE) PRIMEIRO TURNO,VOTAÇÃO GUILHERME BOULOS (PSOL) PRIMEIRO TURNO,VOTAÇÃO ALVARO DIAS (PODEMOS) PRIMEIRO TURNO,VOTAÇÃO VERA (PSTU)  PRIMEIRO TURNO,VOTAÇÃO JOÃO GOULART FILHO (PPL) PRIMEIRO TURNO,VOTAÇÃO EYMAEL (DC) PRIMEIRO TURNO,VOTOS EM BRANCO NO PRIMEIRO TURNO,VOTOS NULOS NO PRIMEIRO TURNO,VOTOS TOTAIS NO PRIMEIRO TURNO,VOTOS VÁLIDOS NO PRIMEIRO TURNO,VOTAÇÃO FERNANDO HADDAD (PT)  SEGUNDO TURNO,VOTAÇÃO BOLSONARO (PSL) SEGUNDO TURNO,VOTAÇÃO BRANCOS  SEGUNDO TURNO,VOTAÇÃO NULOS SEGUNDO TURNO,VOTAÇÃO TOTAL DO SEGUNDO TURNO,VOTAÇÃO VÁLIDA NO SEGUNDO TURNO,IDEB,VOTAÇÃO FERNANDO HADDAD (PT) PRIMEIRO TURNO_log,VOTAÇÃO CIRO GOMES (PDT) PRIMEIRO TURNO_log,VOTAÇÃO GERALDO ALCKIMIN (PSDB) PRIMEIRO TURNO_log,VOTAÇÃO CABO DACIOLO (PATRIOTAS) PRIMEIRO TURNO_log,VOTAÇÃO JOÃO AMOEDO (NOVO) PRIMEIRO TURNO_log,VOTAÇÃO HENRIQUE MEIRELLES (MDB) PRIMEIRO TURNO_log,VOTAÇÃO MARINA SILVA (REDE) PRIMEIRO TURNO_log,VOTAÇÃO GUILHERME BOULOS (PSOL) PRIMEIRO TURNO_log,VOTAÇÃO ALVARO DIAS (PODEMOS) PRIMEIRO TURNO_log,VOTAÇÃO VERA (PSTU)  PRIMEIRO TURNO_log,VOTAÇÃO JOÃO GOULART FILHO (PPL) PRIMEIRO TURNO_log,VOTAÇÃO EYMAEL (DC) PRIMEIRO TURNO_log,VOTOS EM BRANCO NO PRIMEIRO TURNO_log,VOTOS NULOS NO PRIMEIRO TURNO_log,VOTOS TOTAIS NO PRIMEIRO TURNO_log,VOTOS VÁLIDOS NO PRIMEIRO TURNO_log,VOTAÇÃO FERNANDO HADDAD (PT)  SEGUNDO TURNO_log,VOTAÇÃO BOLSONARO (PSL) SEGUNDO TURNO_log,VOTAÇÃO BRANCOS  SEGUNDO TURNO_log,VOTAÇÃO NULOS SEGUNDO TURNO_log,VOTAÇÃO TOTAL DO SEGUNDO TURNO_log,VOTAÇÃO VÁLIDA NO SEGUNDO TURNO_log,VOTAÇÃO JAIR BOLSONARO ( PSL) PRIMEIRO TURNO_log,VOTAÇÃO JAIR BOLSONARO ( PSL) PRIMEIRO TURNO_mi,VOTAÇÃO FERNANDO HADDAD (PT) PRIMEIRO TURNO_mi,VOTAÇÃO CIRO GOMES (PDT) PRIMEIRO TURNO_mi,VOTAÇÃO GERALDO ALCKIMIN (PSDB) PRIMEIRO TURNO_mi,VOTAÇÃO CABO DACIOLO (PATRIOTAS) PRIMEIRO TURNO_mi,VOTAÇÃO JOÃO AMOEDO (NOVO) PRIMEIRO TURNO_mi,VOTAÇÃO HENRIQUE MEIRELLES (MDB) PRIMEIRO TURNO_mi,VOTAÇÃO MARINA SILVA (REDE) PRIMEIRO TURNO_mi,VOTAÇÃO GUILHERME BOULOS (PSOL) PRIMEIRO TURNO_mi,VOTAÇÃO ALVARO DIAS (PODEMOS) PRIMEIRO TURNO_mi,VOTAÇÃO VERA (PSTU)  PRIMEIRO TURNO_mi,VOTAÇÃO JOÃO GOULART FILHO (PPL) PRIMEIRO TURNO_mi,VOTAÇÃO EYMAEL (DC) PRIMEIRO TURNO_mi,VOTOS EM BRANCO NO PRIMEIRO TURNO_mi,VOTOS NULOS NO PRIMEIRO TURNO_mi,VOTOS TOTAIS NO PRIMEIRO TURNO_mi,VOTOS VÁLIDOS NO PRIMEIRO TURNO_mi,VOTAÇÃO FERNANDO HADDAD (PT)  SEGUNDO TURNO_mi,VOTAÇÃO BOLSONARO (PSL) SEGUNDO TURNO_mi,VOTAÇÃO BRANCOS  SEGUNDO TURNO_mi,VOTAÇÃO NULOS SEGUNDO TURNO_mi,VOTAÇÃO TOTAL DO SEGUNDO TURNO_mi,VOTAÇÃO VÁLIDA NO SEGUNDO TURNO_mi
AC,0.531,46.9,28.8,239589,733559,27.67,262508,78170,21809,33115,3564,1990,6458,10557,1642,1531,80,113,241,5499,16357,443634,421778,86977,294899,6594,10659,399129,381876,5.7,11.26664122,9.990078008,10.40774163,8.178638789,7.595889918,8.773074951,9.264544426,7.40367029,7.333676396,4.382026635,4.727387819,5.484796933,8.612321537,9.702411219,13.00275518,12.95223439,11.37339899,12.5943882,8.793915424,9.274159885,12.89703995,12.85285123,12.47803684,0.262508,0.07817,0.021809,0.033115,0.003564,0.00199,0.006458,0.010557,0.001642,0.001531,8.00E-05,0.000113,0.000241,0.005499,0.016357,0.443634,0.421778,0.086977,0.294899,0.006594,0.010659,0.399129,0.381876
AL,0.454,69.7,4.1,496472,3120494,46.03,528355,687247,155457,58580,19106,11697,43895,15843,8863,5128,744,421,410,46692,111065,1693503,1535746,912034,610093,25919,96413,1644459,1522127,4.9,13.44044904,11.95412445,10.97814862,9.857757701,9.367087678,10.6895557,9.670483041,9.089640587,8.542470999,6.612041035,6.042632834,6.01615716,10.75132812,11.61787089,14.34230972,14.24452681,13.72343255,13.32136668,10.16273157,11.47639633,14.31292201,14.23561926,13.17752369,0.528355,0.687247,0.155457,0.05858,0.019106,0.011697,0.043895,0.015843,0.008863,0.005128,0.000744,0.000421,0.00041,0.046692,0.111065,1.693503,1.535746,0.912034,0.610093,0.025919,0.096413,1.644459,1.522127
AM,0.519,43,13.7,1085480,3483985,19.77,805902,746998,138997,29190,31107,26888,23420,29196,11090,8589,835,288,1091,29010,76277,1958878,1853591,875845,885401,29353,118680,1909279,1761246,5.3,13.52381779,11.84220763,10.28158146,10.34518815,10.19943537,10.06134564,10.28178699,9.31379908,9.058237594,6.727431725,5.66296048,6.994849986,10.27539588,11.24212673,14.48788242,14.4326354,13.68294441,13.69379593,10.28715003,11.68418607,14.46223624,14.38153207,13.59971743,0.805902,0.746998,0.138997,0.02919,0.031107,0.026888,0.02342,0.029196,0.01109,0.008589,0.000835,0.000288,0.001091,0.02901,0.076277,1.958878,1.853591,0.875845,0.885401,0.029353,0.11868,1.909279,1.761246
AP,0.513,59.4,7.8,187163,669526,28.38,166935,134287,50553,19241,8882,7490,5611,9008,5432,1435,560,76,247,4739,12124,426620,409757,183616,185096,6589,19638,394939,368712,4.4,11.80773458,10.83077757,9.864798698,9.091782036,8.921324077,8.632484236,9.10586835,8.600062669,7.268920128,6.327936784,4.33073334,5.509388337,8.463581422,9.402942238,12.96364897,12.92331958,12.1206019,12.12862989,8.793156871,9.885221744,12.8864866,12.81777113,12.02535979,0.166935,0.134287,0.050553,0.019241,0.008882,0.00749,0.005611,0.009008,0.005432,0.001435,0.00056,7.60E-05,0.000247,0.004739,0.012124,0.42662,0.409757,0.183616,0.185096,0.006589,0.019638,0.394939,0.368712
BA,0.545,52.4,15.6,2440925,14016906,35.67,1725140,4441955,693273,172900,138234,43800,33109,61481,31499,20838,2240,1989,2087,169806,697750,8236101,7368545,5484901,2060382,107203,547841,8200327,7545283,4.7,15.30660515,13.44917914,12.06046867,11.83670318,10.6873891,10.40756043,11.02648346,10.35771108,9.944533522,7.714231145,7.595387279,7.643482907,12.04241189,13.45561615,15.92403761,15.81273082,15.5175096,14.53840196,11.58247951,13.21374038,15.91968459,15.83643316,14.36081876,1.72514,4.441955,0.693273,0.1729,0.138234,0.0438,0.033109,0.061481,0.031499,0.020838,0.00224,0.001989,0.002087,0.169806,0.69775,8.236101,7.368545,5.484901,2.060382,0.107203,0.547841,8.200327,7.545283
CE,0.553,38.9,8.3,1236435,8452381,32.44,1061075,1616492,1998597,53157,54786,23198,27902,18071,15103,8142,1563,808,1261,111881,252676,5244712,4880155,3407526,1384591,78178,288048,5158343,4792117,6.1,14.29576893,14.50795599,10.88100508,10.91118997,10.05182135,10.23645365,9.802063722,9.622648679,9.004791129,7.35436233,6.694562059,7.139660336,11.62519109,12.43986331,15.47273089,15.40068754,15.04149707,14.14091535,11.26674356,12.57088241,15.45612596,15.38248283,13.8747931,1.061075,1.616492,1.998597,0.053157,0.054786,0.023198,0.027902,0.018071,0.015103,0.008142,0.001563,0.000808,0.001261,0.111881,0.252676,5.244712,4.880155,3.407526,1.384591,0.078178,0.288048,5.158343,4.792117
DF,0.825,34.5,11.3,690982,2570160,17.33,936494,190508,266272,53640,26925,44879,26939,32115,13177,11138,908,700,822,31995,59212,1695724,1604517,463340,1080411,44657,102988,1691396,1543751,6,12.15744947,12.49227362,10.89005034,10.2008105,10.71172526,10.20133033,10.37707849,9.486228165,9.318117964,6.811244379,6.551080335,6.711740395,10.37333492,10.9888795,14.34362035,14.28833333,13.0462164,13.89285208,10.70676635,11.54236776,14.34106478,14.24972573,13.74989839,0.936494,0.190508,0.266272,0.05364,0.026925,0.044879,0.026939,0.032115,0.013177,0.011138,0.000908,7.00E-04,0.000822,0.031995,0.059212,1.695724,1.604517,0.46334,1.080411,0.044657,0.102988,1.691396,1.543751
ES,0.735,42.3,9.3,1164242,3514952,24.36,1122131,495868,195553,79049,41734,44306,22232,26529,8358,11352,711,533,792,61910,113201,2224259,2049148,747768,1276611,51580,102536,2178495,2024379,5.7,13.11406504,12.18358672,11.27782319,10.63907142,10.69887539,10.00928797,10.18599375,9.030974443,9.337149219,6.56667243,6.278521424,6.674561392,11.033437,11.63692028,14.61493438,14.53293465,13.52484805,14.05971947,10.85088928,11.53796924,14.59414483,14.52077354,13.93074011,1.122131,0.495868,0.195553,0.079049,0.041734,0.044306,0.022232,0.026529,0.008358,0.011352,0.000711,0.000533,0.000792,0.06191,0.113201,2.224259,2.049148,0.747768,1.276611,0.05158,0.102536,2.178495,2.024379
GO,0.655,55.5,25.9,1685680,6003788,32,1868686,713535,280864,146440,33349,70023,90778,28783,13806,15628,1011,595,1291,81276,208869,3554934,3264789,1118060,2124739,59568,189457,3491824,3242799,5.9,13.47798677,12.54562585,11.89437107,10.41478307,11.15657904,11.41617224,10.26754021,9.532858559,9.656819456,6.918695219,6.388561406,7.163172391,11.30560605,12.24946254,15.08384706,14.99870569,13.9271056,14.56915953,10.9948738,12.15191736,15.06593479,14.9919474,14.44074607,1.868686,0.713535,0.280864,0.14644,0.033349,0.070023,0.090778,0.028783,0.013806,0.015628,0.001011,0.000595,0.001291,0.081276,0.208869,3.554934,3.264789,1.11806,2.124739,0.059568,0.189457,3.491824,3.242799
MA,0.432,37.9,19.6,1130399,6574789,23.37,817511,2062592,282467,50653,34204,17232,52212,23634,16016,6320,2842,412,776,60408,177943,3605222,3366871,2428913,886565,42274,119765,3477517,3315478,4.5,14.539474,12.55131701,10.83275374,10.44009788,9.754523399,10.86306763,10.07044163,9.681343502,8.751474487,7.952263309,6.021023349,6.65415252,11.00887683,12.08921855,15.09789391,15.02949438,14.70295439,13.69510972,10.65192752,11.69328677,15.06182909,15.01411236,13.61401964,0.817511,2.062592,0.282467,0.050653,0.034204,0.017232,0.052212,0.023634,0.016016,0.00632,0.002842,0.000412,0.000776,0.060408,0.177943,3.605222,3.366871,2.428913,0.886565,0.042274,0.119765,3.477517,3.315478
